,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, 
GhezzalLEIMID,Ghezzal,LEI,MID,0.0,2.0,112.0,1.0,5.5,307.0,0.0,13.0,1.0,68.3,147.8,733.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1%,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Gibbs-WhiteWOLMID,Gibbs-White,WOL,MID,1.0,0.0,113.0,4.0,5.0,181.1,0.0,12.0,0.0,32.5,73.2,645.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.2%,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
GibsonBURDEF,Gibson,BUR,DEF,0.0,0.0,17.0,0.0,4.0,0.4,0.0,3.0,1.0,7.6,42.4,62.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.2%,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
GibsonEVEDEF,Gibson,EVE,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GiroudCHEFWD,Giroud,CHE,FWD,4.0,2.0,169.0,6.0,7.0,253.6,0.0,5.0,2.0,94.5,183.2,828.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,2.5%,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
GodfreyNORDEF,Godfrey,NOR,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GomesMUNMID,Gomes,MUN,MID,0.0,0.0,4.0,0.0,5.0,2.3,0.0,1.0,0.0,2.6,5.2,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1%,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GomesWATGKP,Gomes,WAT,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GomezLIVDEF,Gomez,LIV,DEF,0.0,2.0,268.0,7.0,5.5,92.1,0.0,4.0,0.0,34.7,209.8,1059.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1.8%,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
GoslingBOUMID,Gosling,BOU,MID,2.0,0.0,237.0,4.0,5.0,164.7,0.0,33.0,2.0,78.1,400.6,1734.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0%,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
GrantMUNGKP,Grant,MUN,GKP,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GrayLEIMID,Gray,LEI,MID,1.0,3.0,244.0,6.0,5.5,310.2,0.0,29.0,4.0,122.5,320.2,1978.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.7%,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
GrayWATFWD,Gray,WAT,FWD,2.0,10.0,254.0,4.0,6.0,183.9,0.0,23.0,7.0,112.8,331.8,1352.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.9%,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
GrealishAVLMID,Grealish,AVL,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GreenAVLMID,Green,AVL,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GreenwoodMUNFWD,Greenwood,MUN,FWD,0.0,0.0,12.0,0.0,4.5,43.3,0.0,2.0,0.0,15.7,24.0,115.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.3%,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GroßBHAMID,Groß,BHA,MID,3.0,12.0,347.0,3.0,6.5,815.3,0.0,31.0,3.0,161.7,456.0,1864.0,0.0,1.0,0.0,3.2,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.7%,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
GuaitaCRYGKP,Guaita,CRY,GKP,0.0,8.0,378.0,7.0,5.0,0.0,0.0,23.0,0.0,44.8,448.0,1754.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,64.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
GudmundssonBURMID,Gudmundsson,BUR,MID,7.0,6.0,339.0,5.0,6.0,574.1,0.0,39.0,3.0,141.1,456.2,1743.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.3%,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
GuendouziARSMID,Guendouzi,ARS,MID,0.0,0.0,321.0,3.0,4.5,312.4,0.0,32.0,0.0,76.6,323.2,2140.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,4.6%,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
GueyeEVEMID,Gueye,EVE,MID,2.0,0.0,472.0,13.0,5.0,311.3,0.0,31.0,0.0,111.1,629.2,2821.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.1%,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
GuilbertAVLDEF,Guilbert,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GunnSOUGKP,Gunn,SOU,GKP,0.0,4.0,206.0,3.0,4.5,0.0,0.0,18.0,0.0,23.8,239.2,1080.0,0.0,0.0,1.0,3.9,0.0,0.0,0.0,0.0,47.0,0.0,0.0,33.0,1.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GündoganMCIMID,Gündogan,MCI,MID,3.0,10.0,528.0,13.0,5.5,819.7,0.0,15.0,6.0,181.6,548.8,2129.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,3.1%,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
HallerWHUFWD,Haller,WHU,FWD,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HanleyNORDEF,Hanley,NOR,DEF,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HartBURGKP,Hart,BUR,GKP,0.0,7.0,378.0,4.0,4.5,10.1,0.0,41.0,0.0,60.3,594.6,1710.0,0.0,0.0,1.0,3.6,0.0,0.0,0.0,0.0,69.0,0.0,0.0,77.0,2.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HauseAVLDEF,Hause,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HaydenNEWMID,Hayden,NEW,MID,4.0,5.0,306.0,7.0,4.5,298.8,0.0,25.0,1.0,94.4,412.0,1857.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,69.0,1.0,0.0,0.0,7.9%,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
HeatonAVLGKP,Heaton,AVL,GKP,0.0,4.0,323.0,4.0,4.5,20.1,0.0,27.0,0.0,46.6,442.8,1710.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,58.0,0.0,0.0,63.0,6.9%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
HeiseNORDEF,Heise,NOR,DEF,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HendersonLIVMID,Henderson,LIV,MID,3.0,2.0,397.0,12.0,5.5,311.7,0.0,14.0,1.0,85.4,358.8,1976.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.7%,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
HendersonSHUGKP,Henderson,SHU,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HendrickBURMID,Hendrick,BUR,MID,2.0,3.0,243.0,4.0,5.5,205.3,0.0,44.0,2.0,70.6,233.8,2058.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.1%,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
HennesseyCRYGKP,Hennessey,CRY,GKP,0.0,6.0,311.0,5.0,4.5,0.0,0.0,26.0,0.0,35.9,358.8,1575.0,0.0,0.0,1.0,3.7,0.0,0.0,0.0,0.0,67.0,0.0,0.0,44.0,1.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HernándezNORMID,Hernández,NOR,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HoedtSOUDEF,Hoedt,SOU,DEF,0.0,3.0,206.0,4.0,4.5,20.0,0.0,24.0,0.0,34.7,283.6,1170.0,2.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.1%,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
HoldingARSDEF,Holding,ARS,DEF,0.0,5.0,148.0,1.0,4.5,28.7,0.0,10.0,0.0,23.2,187.8,806.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.2%,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
HolebasWATDEF,Holebas,WAT,DEF,7.0,10.0,437.0,5.0,5.0,598.2,0.0,41.0,3.0,140.6,642.4,2392.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,93.0,1.0,0.0,0.0,4.8%,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,
HolgateEVEDEF,Holgate,EVE,DEF,0.0,0.0,61.0,0.0,4.5,5.0,0.0,9.0,0.0,9.9,92.2,407.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
HourihaneAVLMID,Hourihane,AVL,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hudson-OdoiCHEMID,Hudson-Odoi,CHE,MID,1.0,1.0,83.0,2.0,6.0,143.2,0.0,5.0,0.0,36.2,89.2,388.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.3%,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HughesWATMID,Hughes,WAT,MID,4.0,5.0,320.0,7.0,5.5,416.0,0.0,39.0,2.0,129.6,429.2,2419.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.3%,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
HøjbjergSOUMID,Højbjerg,SOU,MID,3.0,8.0,477.0,4.0,5.0,445.6,0.0,59.0,4.0,148.8,616.0,2760.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,1.0%,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
IbeBOUMID,Ibe,BOU,MID,1.0,0.0,105.0,1.0,5.0,174.8,0.0,23.0,1.0,46.0,131.2,789.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.4%,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
IheanachoLEIFWD,Iheanacho,LEI,FWD,5.0,3.0,160.0,1.0,6.0,209.4,0.0,16.0,1.0,56.9,135.8,924.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.4%,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
IngsSOUFWD,Ings,SOU,FWD,3.0,11.0,310.0,5.0,6.0,346.9,0.0,27.0,7.0,158.4,433.8,1650.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.5%,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
IwobiARSMID,Iwobi,ARS,MID,8.0,3.0,382.0,4.0,6.0,596.7,0.0,32.0,3.0,171.1,469.0,1961.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.2%,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IzquierdoBHAMID,Izquierdo,BHA,MID,2.0,0.0,95.0,3.0,5.5,77.3,0.0,10.0,0.0,30.0,75.4,789.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0%,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
JagielkaSHUDEF,Jagielka,SHU,DEF,0.0,3.0,80.0,2.0,4.5,21.4,0.0,4.0,1.0,14.6,82.2,329.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.9%,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JahanbakhshBHAMID,Jahanbakhsh,BHA,MID,0.0,0.0,61.0,5.0,6.0,104.0,0.0,16.0,0.0,35.5,94.4,1014.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.1%,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
JakupovicLEIGKP,Jakupovic,LEI,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JamesCHEDEF,James,CHE,DEF,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JamesLEIMID,James,LEI,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JamesMUNMID,James,MUN,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JanmaatWATDEF,Janmaat,WAT,DEF,2.0,6.0,274.0,3.0,4.5,212.2,0.0,22.0,0.0,67.8,346.2,1520.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.7%,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
JanssenTOTFWD,Janssen,TOT,FWD,0.0,0.0,4.0,0.0,4.5,1.6,0.0,0.0,0.0,6.5,6.2,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3%,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JenkinsonARSDEF,Jenkinson,ARS,DEF,0.0,0.0,16.0,0.0,4.5,16.9,0.0,3.0,0.0,5.2,26.8,165.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JesusMCIFWD,Jesus,MCI,FWD,3.0,7.0,259.0,2.0,9.5,300.5,0.0,11.0,7.0,156.3,395.2,1017.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,2.3%,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
JiménezWOLFWD,Jiménez,WOL,FWD,10.0,31.0,602.0,12.0,7.5,648.5,0.0,40.0,13.0,285.4,788.8,3112.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,21.0%,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
JoelintonNEWFWD,Joelinton,NEW,FWD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JohnsonSOUMID,Johnson,SOU,MID,0.0,0.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JohnsonWHUDEF,Johnson,WHU,DEF,0.0,0.0,6.0,0.0,4.0,0.4,0.0,1.0,0.0,0.8,7.8,62.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JonesMUNDEF,Jones,MUN,DEF,1.0,3.0,273.0,3.0,5.0,44.8,0.0,17.0,0.0,39.0,300.8,1261.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.2%,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
JonnyWOLDEF,Jonny,WOL,DEF,3.0,9.0,488.0,8.0,5.5,447.3,0.0,39.0,1.0,133.3,523.4,2772.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,1.5%,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
JorginhoCHEMID,Jorginho,CHE,MID,0.0,4.0,577.0,16.0,5.0,628.4,0.0,37.0,2.0,144.2,691.4,3156.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,4.0%,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,
JoseluNEWFWD,Joselu,NEW,FWD,0.0,3.0,89.0,1.0,5.0,35.9,0.0,15.0,2.0,44.6,121.4,586.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.1%,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
JotaAVLMID,Jota,AVL,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
JotaWOLFWD,Jota,WOL,FWD,8.0,13.0,386.0,10.0,6.5,402.5,0.0,29.0,9.0,185.0,559.6,2352.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,15.0%,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,
JustinLEIDEF,Justin,LEI,DEF,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KabaseleWATDEF,Kabasele,WAT,DEF,0.0,1.0,212.0,3.0,4.5,24.0,0.0,29.0,0.0,56.7,355.2,1584.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.3%,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
KalinicAVLGKP,Kalinic,AVL,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KaneTOTFWD,Kane,TOT,FWD,6.0,24.0,561.0,9.0,11.0,430.0,0.0,31.0,17.0,261.3,824.6,2423.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,28.7%,1359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
KantéCHEMID,Kanté,CHE,MID,4.0,3.0,563.0,14.0,5.0,766.3,0.0,38.0,4.0,186.4,683.6,3092.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,8.1%,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
KayalBHAMID,Kayal,BHA,MID,1.0,0.0,136.0,4.0,4.5,59.3,0.0,17.0,1.0,33.6,224.0,935.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.2%,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
KeanEVEFWD,Kean,EVE,FWD,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KeaneEVEDEF,Keane,EVE,DEF,2.0,15.0,642.0,13.0,5.5,101.2,0.0,39.0,1.0,117.2,740.2,2970.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,2.9%,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
KeitaLIVMID,Keita,LIV,MID,1.0,3.0,246.0,10.0,6.0,213.1,0.0,8.0,2.0,86.3,293.6,1385.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.6%,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KellyBOUDEF,Kelly,BOU,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KellyCRYDEF,Kelly,CRY,DEF,0.0,1.0,166.0,3.0,4.0,17.1,0.0,21.0,0.0,32.2,269.8,1110.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,24.5%,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
KenedyCHEMID,Kenedy,CHE,MID,1.0,1.0,161.0,6.0,5.5,187.9,0.0,18.0,1.0,69.8,212.8,1337.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.1%,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
KepaCHEGKP,Kepa,CHE,GKP,0.0,7.0,685.0,14.0,5.5,0.1,0.0,39.0,0.0,68.0,681.0,3240.0,0.0,0.0,1.0,3.9,0.0,0.0,0.0,0.0,142.0,0.0,0.0,82.0,5.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
Ki Sung-yuengNEWMID,Ki Sung-yueng,NEW,MID,1.0,1.0,197.0,4.0,5.0,258.4,0.0,20.0,0.0,46.7,163.2,1298.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.1%,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
Kiko FemeníaWATDEF,Kiko Femenía,WAT,DEF,1.0,6.0,412.0,4.0,4.5,252.9,0.0,40.0,1.0,76.0,420.2,2043.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.9%,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
KilmanWOLDEF,Kilman,WOL,DEF,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
